input,probability,response__possible_conditions__001,response__possible_conditions__002,response__possible_conditions__003,response__possible_conditions__004,response__urgency,response__common_age_groups,response__immediate_actions,response__precautions,response__potential_treatments__001,response__potential_treatments__002,response__potential_treatments__003,response__potential_treatments__004,response__medications__001,response__medications__002,response__medications__003,response__medications__004,response__lifestyle_changes
"I'm feeling chest pain, what should I do?",0.176675489,Angina,Heart attack,Acid reflux,,High - Seek immediate medical attention,"Adults, especially older adults","Call emergency services, chew aspirin if advised",Don't drive yourself to the hospital,Emergency medical care,,,,As prescribed by healthcare professionals,,,,"Regular check-ups, heart-healthy diet, exercise"
"I've been coughing all day, what can I do?",0.174635021,Common cold,Bronchitis,Allergies,,Low - Unless difficulty breathing,All ages,"Stay hydrated, use a humidifier","Cover mouth when coughing, wash hands frequently",Honey and lemon tea,Steam inhalation,,,Over-the-counter cough suppressants,,,,"Avoid irritants like smoke, get plenty of rest"
"My throat is really sore, what should I do?",0.172594553,Viral infection,Strep throat,Tonsillitis,,Low - Unless severe pain or difficulty swallowing,All ages,"Gargle with warm salt water, stay hydrated",Avoid irritants like smoking,"Honey, warm tea with lemon",,,,"Over-the-counter pain relievers, throat lozenges",,,,"Rest voice, avoid cold drinks"
"I'm feeling really tired lately, what could be wrong?",0.170554085,Anemia,Depression,Sleep apnea,,Low - Unless accompanied by other concerning symptoms,All ages,"Get adequate rest, maintain regular sleep schedule",Monitor for other symptoms,Light exercise,Stress reduction techniques,,,Consult healthcare provider if persistent,,,,"Balanced diet, regular exercise, limit caffeine"
"My eyes are itchy and red, what can I do?",0.168513617,Allergies,Conjunctivitis,Dry eye syndrome,,Low - Unless vision affected,All ages,"Avoid rubbing eyes, use cool compress","Wash hands frequently, avoid sharing towels",Artificial tears,Allergy eye drops,,,Over-the-counter antihistamine eye drops,,,,"Avoid allergens, use air purifiers"
"My skin is really dry and itchy, what can I do?",0.166473149,Eczema,Dehydration,Allergic reaction,,Low - Unless severe or spreading rapidly,All ages,"Moisturize regularly, avoid hot showers","Don't scratch, as it can lead to infection",Oatmeal baths,Humidifier use,,,Over-the-counter hydrocortisone cream,,,,"Use gentle, fragrance-free products, stay hydrated"
"I've been feeling dizzy, what could be causing this?",0.164432682,Inner ear problems,Low blood pressure,Dehydration,,Moderate - Seek care if persistent or affecting daily activities,All ages,"Sit or lie down, avoid sudden movements",Use assistance when walking if necessary,Vestibular exercises,Increase fluid intake,,,Consult healthcare provider if persistent,,,,"Stay hydrated, avoid alcohol, get regular exercise"
"I have a rash on my arm, what should I do?",0.162392214,Allergic reaction,Eczema,Contact dermatitis,,Low - Unless spreading rapidly or accompanied by breathing difficulties,All ages,"Avoid scratching, apply cool compress",Monitor for signs of infection,Calamine lotion,Oatmeal bath,,,Over-the-counter antihistamines,Hydrocortisone cream,,,"Identify and avoid triggers, use gentle skincare products"
"My back has been hurting for days, what can I do?",0.160351746,Muscle strain,Poor posture,Herniated disc,,Low - Unless severe pain or affecting daily activities,Adults,"Apply ice or heat, gentle stretches",Avoid heavy lifting,Gentle exercises,Massage,,,Over-the-counter pain relievers,,,,"Improve posture, ergonomic workspace, regular exercise"
"I'm feeling nauseous, what should I do?",0.158311278,Food poisoning,Viral infection,Motion sickness,,Low - Unless severe or persistent,All ages,"Rest, stay hydrated, eat bland foods",Monitor for dehydration,Ginger tea,Peppermint,,,Over-the-counter antiemetics,,,,"Eat smaller, more frequent meals, avoid trigger foods"
"My joints are aching, what could be causing this?",0.15627081,Arthritis,Overexertion,Viral infection,,Low - Unless severe pain or swelling,Adults and older adults,"Rest, apply ice or heat",Avoid overexertion,Gentle exercises,Warm bath,,,Over-the-counter pain relievers,,,,"Maintain healthy weight, low-impact exercise"
"I'm having trouble concentrating, what can I do?",0.154230342,Stress,Lack of sleep,ADHD,,Low - Unless affecting daily life significantly,All ages,"Take short breaks, practice mindfulness",Monitor for other cognitive changes,Meditation,Brain exercises,,,Consult healthcare provider if persistent,,,,"Regular sleep schedule, balanced diet, reduce distractions"
"I've been sweating a lot at night, what could be wrong?",0.152189874,Hormonal changes,Infection,Medication side effect,,Low - Unless accompanied by fever or weight loss,Adults,"Use breathable bedding, keep room cool",Monitor for other symptoms,Cooling pillows,Moisture-wicking sleepwear,,,Consult healthcare provider if persistent,,,,"Avoid spicy foods and alcohol before bed, maintain healthy weight"
"My nose is always stuffy, what can I do?",0.150149407,Allergies,Chronic sinusitis,Deviated septum,,Low - Unless difficulty breathing,All ages,"Use saline nasal spray, stay hydrated",Avoid irritants like smoke,Nasal irrigation,Steam inhalation,,,Over-the-counter decongestants,Antihistamines,,,"Use air purifiers, avoid allergens"
"I'm always feeling bloated, what could be causing this?",0.148108939,Irritable bowel syndrome,Food intolerance,Constipation,,Low - Unless severe pain or persistent,All ages,"Avoid trigger foods, eat slowly",Monitor bowel movements,Probiotics,Peppermint tea,,,Over-the-counter gas relief medications,,,,"Increase fiber intake, regular exercise"
"My feet are always cold, what should I do?",0.146068471,Poor circulation,Hypothyroidism,Raynaud's disease,,Low - Unless accompanied by pain or color changes,All ages,"Wear warm socks, gentle foot massage",Protect feet from extreme cold,Foot exercises,Warm foot baths,,,Consult healthcare provider if persistent,,,,"Regular exercise, quit smoking, limit caffeine"
"I'm having frequent mood swings, what can I do?",0.144028003,Hormonal changes,Stress,Bipolar disorder,,Moderate - Seek care if affecting daily life or relationships,Adolescents and adults,Practice stress-reduction techniques,Monitor for signs of depression or mania,Cognitive behavioral therapy,Mindfulness practices,,,Consult healthcare provider if persistent,,,,"Regular exercise, balanced diet, adequate sleep"
"My hair is falling out more than usual, what could be wrong?",0.141987535,Stress,Hormonal changes,Nutrient deficiency,,Low - Unless rapid or patchy hair loss,Adults,"Gentle hair care, balanced diet",Avoid harsh chemical treatments,Scalp massage,Biotin-rich foods,,,Consult healthcare provider if persistent,,,,"Stress management, quit smoking"
"I'm always thirsty, what could be causing this?",0.139947067,Diabetes,Dehydration,Medication side effect,,Moderate - Seek care if persistent,All ages,"Increase water intake, monitor urine color",Watch for other symptoms like frequent urination,Electrolyte-rich beverages,Balanced diet,,,Consult healthcare provider if persistent,,,,"Limit caffeine and alcohol, eat water-rich foods"
"I've been having frequent nosebleeds, what should I do?",0.1379066,Dry air,High blood pressure,Blood thinning medications,,Low - Unless frequent or difficult to stop,All ages,"Pinch nose, lean forward, breathe through mouth","Avoid nose picking, use saline nasal spray",Humidifier use,Apply petroleum jelly inside nostrils,,,Consult healthcare provider if on blood thinners,,,,"Stay hydrated, avoid tobacco smoke"
"My ears feel clogged, what can I do?",0.135866132,Earwax buildup,Eustachian tube dysfunction,Ear infection,,Low - Unless accompanied by pain or hearing loss,All ages,Yawn or chew gum to equalize pressure,Don't insert objects into ears,Warm compress,Over-the-counter earwax removal drops,,,Consult healthcare provider if persistent,,,,"Avoid loud noises, practice good ear hygiene"
"I'm having trouble swallowing, what could be wrong?",0.133825664,Strep throat,GERD,Tonsillitis,,Moderate - Seek care if persistent or affecting eating/drinking,All ages,"Eat soft foods, stay hydrated",Avoid irritants like spicy foods,Gargle with salt water,Throat lozenges,,,Over-the-counter pain relievers,,,,"Quit smoking, avoid alcohol"
"My hands are shaking, what could be causing this?",0.131785196,Essential tremor,Stress,Parkinson's disease,,Moderate - Seek care if affecting daily activities,Adults and older adults,"Rest, avoid caffeine",Be cautious with tasks requiring steady hands,Stress reduction techniques,Hand exercises,,,Consult healthcare provider for proper diagnosis,,,,"Reduce caffeine and alcohol intake, get adequate sleep"
"I'm having frequent urination, what should I do?",0.129744728,Urinary tract infection,Diabetes,Overactive bladder,,Moderate - Seek care if accompanied by pain or fever,All ages,"Stay hydrated, avoid bladder irritants like caffeine",Monitor for other symptoms like burning sensation,Kegel exercises,Bladder training,,,Consult healthcare provider for proper diagnosis,,,,"Limit fluid intake before bedtime, maintain healthy weight"
"I'm experiencing memory loss, what could be wrong?",0.12770426,Stress,Sleep deprivation,Early-stage dementia,,Moderate - Seek care if affecting daily life,Older adults,"Get adequate sleep, use memory aids",Monitor for worsening symptoms,Cognitive exercises,Social engagement,,,Consult healthcare provider for proper diagnosis,,,,"Regular exercise, balanced diet, mental stimulation"
"I'm having chest tightness, what should I do?",0.125663792,Anxiety,Asthma,Heart issues,,High - Seek immediate care if severe or persistent,Adults,"Sit down, take slow deep breaths","Don't ignore symptoms, especially if you have heart disease risk factors",Relaxation techniques,Use inhaler if prescribed for asthma,,,As prescribed by healthcare provider,,,,"Stress management, regular exercise, quit smoking"
"My mouth is always dry, what can I do?",0.123623325,Dehydration,Medication side effect,Sj̦gren's syndrome,,Low - Unless severely affecting eating or speaking,Adults and older adults,"Sip water frequently, chew sugar-free gum",Maintain good oral hygiene,Artificial saliva products,Humidifier use,,,Consult healthcare provider if persistent,,,,"Limit caffeine and alcohol, quit smoking"
"I'm losing weight without trying, what could be wrong?",0.121582857,Hyperthyroidism,Depression,Diabetes,,Moderate - Seek care if significant weight loss,Adults,"Monitor food intake, stay hydrated",Watch for other symptoms like fatigue or increased thirst,"Balanced, nutrient-rich diet",Regular meals,,,Consult healthcare provider for proper diagnosis,,,,"Regular exercise, stress management"
"I'm having trouble breathing, what should I do?",0.119542389,Asthma,Anxiety,Heart issues,,High - Seek immediate care if severe or persistent,All ages,"Sit upright, use rescue inhaler if prescribed",Avoid triggers like smoke or allergens,Breathing exercises,Remove tight clothing,,,As prescribed by healthcare provider,,,,"Quit smoking, regular exercise, manage stress"
"I'm feeling numbness in my hands, what could be causing this?",0.117501921,Carpal tunnel syndrome,Vitamin B12 deficiency,Peripheral neuropathy,,Moderate - Seek care if persistent or spreading,Adults,"Rest affected area, gentle stretches",Avoid repetitive motions if possible,Wrist splints,Hand exercises,,,Over-the-counter pain relievers,,,,"Ergonomic workspace, regular breaks during repetitive tasks"
"I'm experiencing frequent bruising, what should I do?",0.115461453,Vitamin deficiency,Blood disorder,Medication side effect,,Moderate - Seek care if frequent or large bruises,All ages,Apply cold compress to bruises,Protect skin from injury,Vitamin K-rich foods,Arnica cream,,,Consult healthcare provider before taking supplements,,,,"Eat a balanced diet, exercise caution to prevent injury"
"I'm having trouble with my balance, what could be wrong?",0.113420985,Inner ear problems,Medication side effect,Neurological issues,,Moderate - Seek care if affecting daily activities,Older adults,"Use assistive devices if necessary, avoid sudden movements",Remove tripping hazards at home,Balance exercises,Physical therapy,,,Consult healthcare provider for proper diagnosis,,,,"Regular exercise, vision check-ups"
"I'm experiencing frequent heartburn, what can I do?",0.111380517,GERD,Hiatal hernia,Peptic ulcer,,Low - Unless severe or persistent,Adults,"Avoid trigger foods, eat smaller meals",Don't lie down immediately after eating,Elevate head of bed,Chew gum after meals,,,Over-the-counter antacids,,,,"Maintain healthy weight, quit smoking"
